,author,description,publishedAt,source,title,url,urlToImage
0,JAMES PONIEWOZIK,"On cable TV and social media, the separation of parents from their children provoked empathy and exposed the emptiness of trolling.",2018-06-20T19:34:33Z,new york times,Critic’s Notebook: Images of the Border Crises Speak Louder Than ‘Womp Womp’,https://www.nytimes.com/2018/06/20/arts/television/border-crisis-womp-womp.html,https://static01.nyt.com/images/2018/06/21/arts/21border-tv/21border-tv-facebookJumbo.jpg
1,EMILY BAUMGAERTNER,"A field technician excavating the remains of an amputated limb at Manassas National Battlefield Park in October 2015. The discovery of two nearly complete sets of soldiers’ remains, 11 partial limbs and other artifacts appeared to date to the Second Battle of…",2018-06-20T19:26:03Z,new york times,Newly Discovered ‘Limb Pit’ Reveals Civil War Surgeons’ Bitter Choices,https://www.nytimes.com/2018/06/20/science/civil-war-archaeology-bones-limbs.html,https://static01.nyt.com/images/2018/06/21/science/21BATTLEFIELD1/21BATTLEFIELD1-facebookJumbo.jpg
2,BRIAN SLOAN,"The Springs, which opened this spring on a quiet corner in Greenpoint, Brooklyn, is a cafe by day and a lounge by night.",2018-06-20T19:00:04Z,new york times,Boîte: A Slice of Palm Springs in a Brooklyn Backyard,https://www.nytimes.com/2018/06/20/style/the-springs-bar-greenpoint-brooklyn.html,https://static01.nyt.com/images/2018/06/21/fashion/21boite1/21boite1-facebookJumbo.jpg
3,Daisuke Wakabayashi,The social media service said a new video hub called IGTV would allow users to post videos up to an hour in length.,2018-06-20T18:49:28Z,new york times,Instagram Allows Longer Videos in Challenge to YouTube,https://www.nytimes.com/2018/06/20/technology/instagram-videos.html,https://static01.nyt.com/images/2018/06/21/business/21instagram1/merlin_139921038_927c3884-5702-4999-964c-0dbe76b6a362-facebookJumbo.jpg
4,https://www.nytimes.com/by/emmarie-huetteman,"The Department of Health and Human Services put more than a dozen minors in the care of human traffickers after inadequate background checks, a Senate inquiry found.",2018-06-20T18:35:44Z,new york times,"U.S. Placed Immigrant Children with Traffickers, Report Says (2016)",https://www.nytimes.com/2016/01/29/us/politics/us-placed-immigrant-children-with-traffickers-report-says.html,https://static01.nyt.com/images/2016/01/29/us/29visa-web/29visa-web-facebookJumbo.jpg
5,RICHARD FAUSSET,"Saying that it had “no desire to be associated with separating families, or worse, to profit from it,” American Airlines has asked the government to stop using its planes to carrry immigrant children taken from their parents.",2018-06-20T18:32:20Z,new york times,American Airlines Asks Government Not to Use Its Flights to Carry Immigrant Children,https://www.nytimes.com/2018/06/20/us/airlines-transport-immigrant-children.html,https://static01.nyt.com/images/2018/06/21/us/21airlines/21airlines-facebookJumbo.jpg
6,CHARLOTTE GRAHAM-McLAY,"Prime Minister Jacinda Ardern of New Zealand and her partner, Clarke Gayford, at Buckingham Palace in April. The couple are expecting their first child.",2018-06-20T18:29:36Z,new york times,"Jacinda Ardern, New Zealand’s Prime Minister, Is Expected to Have Her Baby Soon",https://www.nytimes.com/2018/06/20/world/asia/jacinda-ardern-baby.html,https://static01.nyt.com/images/2018/06/20/world/00jacinda-1/00jacinda-1-facebookJumbo.jpg
7,NIKO KOPPEL,How 727 photos taken in 29 minutes became an immersive 3D experience.,2018-06-20T17:53:51Z,new york times,"After Volcano Eruption in Guatemala, Re-creating a Truck Covered in Ash",https://www.nytimes.com/2018/06/20/insider/volcano-lava-guatemala-buried-truck-augmented-reality-3d-immersive.html,https://static01.nyt.com/images/2018/06/20/insider/20insider-volcano-promo/20insider-volcano-promo-facebookJumbo.png
8,ANDREW R. CHOW,AMC’s new service will cost $20 a month — double MoviePass’s price — but will come with fewer restrictions.,2018-06-20T17:39:53Z,new york times,"AMC Starts Subscription Service, Challenging MoviePass",https://www.nytimes.com/2018/06/20/movies/amc-subscription-service-moviepass.html,https://static01.nyt.com/images/2018/06/21/arts/21amc-item1/merlin_139906809_6c33704a-5693-42ed-a71c-a55dda694b11-facebookJumbo.jpg
9,Kevin Draper,"New York Times World Cup 2018: Spain vs. Iran Live Updates New York Times Iran, the surprise Group B leader after the first round of games, takes on Spain, one of the 2018 World Cup favorites, in Kazan. Will Spain handily dispatch Team Melli, or will the Iran…",2018-06-20T17:16:43Z,new york times,World Cup 2018: Spain vs. Iran Live Updates - New York Times,https://www.nytimes.com/2018/06/20/sports/world-cup/spain-vs-iran.html,https://static01.nyt.com/images/2018/06/20/sports/sergio-ramos/sergio-ramos-facebookJumbo.jpg
