,author,description,publishedAt,source,title,url
0,mail@democracynow.org (Democracy Now!),"An Eritrean man took his own life after being deported from the United States earlier this month. Zeresenay Ermias Testfatsion died by suicide at the Cairo International Airport. He was 34 years old. Testfatsion sought asylum in the United States in 2017, fleeing violence in Eritrea. He spent more than a year detained in South Florida and Ohio before he was deported. Friends and family are demanding to know why he was deported to Eritrea, despite his fears that he would be tortured or even killed there. We speak with Christine Ho, founder of a volunteer visitation program that provides support for immigrants and asylum-seekers inside Broward Transitional Center, the immigrant detention center in South Florida where Testfatsion was jailed for more than a year.
","Fri, 22 Jun 2018 08:50:44 -0400",democracy now,ICE Detention is “Soul-Destroying”: Eritrean Immigrant Dies by Suicide During Deportation,http://www.democracynow.org/2018/6/22/ice_detention_is_soul_destroying_eritrean
1,mail@democracynow.org (Democracy Now!),"Human Rights Watch has a new report that exposes dangerously substandard medical care in ICE detention facilities around the country and reveals that more people died in immigration detention in fiscal year 2017 than any year since 2009. Physicians reviewed 15 deaths in immigration detention from December 2015 to April 2017, determining that substandard medical care contributed or led to eight of the 15 deaths. “What we found is ICE, the agency that's detaining now 40,000 people… and wants to expand, cannot provide adequately for the safety of the people that it holds,"" says Clara Long, senior researcher at Human Rights Watch. She's the author of the report ""Code Red: The Fatal Consequences of Dangerously Substandard Medical Care in Immigration Detention.""
","Fri, 22 Jun 2018 08:34:04 -0400",democracy now,"Investigation: Substandard Medical Care in ICE Detention is Killing Immigrants, Endangering Lives",http://www.democracynow.org/2018/6/22/investigation_substandard_medical_care_in_ice
2,mail@democracynow.org (Democracy Now!),"More 2,300 children have been separated from their families at the U.S.-Mexico border after their parents were charged with illegal entry under the Trump administration's ongoing ""zero tolerance"" policy. As concerns grow about poor coordination between Customs and Border Patrol, which takes the children, and the Office of Refugee Resettlement, which puts them into detention and foster care, _The Intercept_ has a new report on one of the first reunifications. We speak with journalist Debbie Nathan about a Guatemalan woman whose 5-year-old son was taken from her last month by immigration authorities in Texas after she sought asylum, and has been reunited with him after 38 days in detention. We also speak with Clara Long, a senior researcher at Human Rights Watch. ""It was a lot of work that took place outside of the government system,"" Nathan says. “It was really a wonderful thing, but it was exceptional.""
","Fri, 22 Jun 2018 08:14:05 -0400",democracy now,"Immigrant Parents Search for Children Snatched by Gov't at the Border, But Reunification Is Rare",http://www.democracynow.org/2018/6/22/immigrant_parents_search_for_children_snatched
3,mail@democracynow.org (Democracy Now!),"Military Prepares Four Bases to Hold 20,000 Immigrant Children, Ex-Head of Office of Refugees Accuses Trump Administration of “Child Abuse”, Republicans Postpone Harsh Immigration Bill, Melania Trump Heads to Border Wearing “I Really Don’t Care” Jacket, ICE Arrests 146 in Ohio in Largest Immigration Raid in Years, Parents with Babies Protest at ICE Field Office, Guatemalan Mother Seeks Sanctuary in NYC Church, Cynthia Nixon: ICE Has Turned Into a ""Terrorist Organization"", Hundreds Shut Down Highway Protesting Police Killing of Antwon Rose, Lancet Study: Police Killings of Black Americans Harms Mental Health of Black Population, NSA Whistleblower Reality Winner Agrees to Plea Deal, Trump Proposes Merging Departments of Labor and Education, Nikki Haley Slams U.N. For Examining Poverty in United States, 100 Arrested in Poor People's Campaign Action at U.S. Capitol, Israel Considers Bill to Criminalize Filming Israeli Soldiers, Benjamin Netanyahu's Wife Indicted for Fraud","Fri, 22 Jun 2018 08:00:00 -0400",democracy now,"Headlines for June 22, 2018",http://www.democracynow.org/2018/6/22/headlines
4,mail@democracynow.org (Democracy Now!),"A new investigation has uncovered rampant sexual violence against Yemeni prisoners held in prisons run by the United Arab Emirates in Yemen. The Associated Press reports that in March, 15 officers lined up the prisoners in the southern city of Aden and ordered them to undress before searching their anal cavities, claiming they were looking for contraband cell phones. The prisoners screamed and cried and those who resisted were beaten and threatened by dogs.
Hundreds of prisoners reportedly suffered similar abuse. A Pentagon spokesman quoted in the piece said the allegations were not substantiated. The UAE is a key ally of the United States and has partnered with Saudi Arabia in its military assault on Yemen. We speak with Maggie Michael, the reporter who broke these stories. She is the Associated Press based in Cairo. Her latest exposé is headlined “Detainees held without charges decry Emiratis’ sexual abuses.” Last year, she reported on prisons in a piece headlined, ""In Yemen’s secret prisons, UAE tortures and US interrogates.""","Thu, 21 Jun 2018 08:49:59 -0400",democracy now,Yemenis Accuse UAE Officers of Sexual Torture Inside Secret Prisons,http://www.democracynow.org/2018/6/21/yemenis_accuse_uae_officers_of_sexual
5,mail@democracynow.org (Democracy Now!),"Shocking reports have revealed that immigrant children were subdued and incapacitated with powerful psychiatric drugs at a detention center in South Texas. Legal filings show that children held at Shiloh Treatment Center in southern Houston have been “forcibly injected with medications that make them dizzy, listless, obese and even incapacitated,” according to reports by Reveal. Meanwhile, according to another Reveal investigation, taxpayers have paid more than $1.5 billion over the past four years to companies operating immigration youth facilities despite facing accusations of rampant sexual and physical abuse. For more, we speak with the reporter who broke these stories: Aura Bogado. She is an immigration reporter with Reveal from the Center for Investigative Reporting. Her latest stories are, ""Immigrant children forcibly injected with drugs, lawsuit claims"" and ""Migrant children sent to shelters with histories of abuse allegations.""
","Thu, 21 Jun 2018 08:37:53 -0400",democracy now,Lawsuit Claims Detained Migrant Children Have Been Forcibly Injected With Powerful Psychiatric Drugs,http://www.democracynow.org/2018/6/21/lawsuit_claims_detained_migrant_children_have
6,mail@democracynow.org (Democracy Now!),"The government has no plans to reunite thousands of children who have been separated from their parents at the border, despite President Trump’s executive order claiming to end family separations. We speak with Zenén Jaimes, advocacy director for the Texas Civil Rights Project. He is part of their team that goes to the federal courthouse in McAllen each day since Trump began his ""zero tolerance"" policy, and collects information from parents who had their children taken away from them before they were taken to court to face criminal charges for crossing the border.
","Thu, 21 Jun 2018 08:31:42 -0400",democracy now,"Report from McAllen, Texas: No One Knows What Will Happen Now to Separated Migrant Children",http://www.democracynow.org/2018/6/21/report_from_mcallen_texas_no_one
7,mail@democracynow.org (Democracy Now!),"President Donald Trump’s executive order ending family separations at the border opts to indefinitely detain families together instead. The Nation reports that this policy will directly benefit the two largest prison companies in the United States: GEO Group and CoreCivic, formerly Corrections Corporation of America. We speak with Bob Libal, the executive director of the Austin-based civil and human rights group Grassroots Leadership. They sued the state of Texas when it tried to classify ICE's family detention centers as ""child care"" facilities. They won, but the detention centers continue to operate without a license. His new article in the Texas Observer is headlined, ""It’s Time to Decriminalize Immigration.” It is co-authored with Judy Greene.
","Thu, 21 Jun 2018 08:22:14 -0400",democracy now,GEO Group & Private Prisons Stand to Profit as Trump Pushes Indefinite Family Detention,http://www.democracynow.org/2018/6/21/geo_group_private_prisons_stand_to
8,mail@democracynow.org (Democracy Now!),"President Trump has signed an executive order claiming to end the separation of children from their parents at the border, but critics warn the order could lead to the indefinite detention of entire families. The government has no plans to reunite the thousands of children already separated from their families with their parents. We go to Washington, D.C. to speak with Franco Ordoñez, White House correspondent for the McClatchy Washington Bureau. His latest story is headlined, ""Trump's immigration order replaces one crisis with another.""
","Thu, 21 Jun 2018 08:14:21 -0400",democracy now,Trump Admin to Indefinitely Detain Migrant Families Together; No Plan to Reunite Separated Children,http://www.democracynow.org/2018/6/21/trump_admin_to_indefinitely_detain_migrant
9,mail@democracynow.org (Democracy Now!),"Trump Signs Executive Order to Jail Immigrant Families Together, Without Limit, House to Debate Anti-Immigrant Bills Providing $25B to Militarize Border, Migrant Children Secretly Transported to NYC Foster Care in Dead of Night, Reveal: Migrant Youths Sent to Detention Centers With Abuse Histories, Airlines Refuse to Transport Separated Migrant Children, Portland ICE Office Closes Amid 24/7 Protest Over Family Separations, Scathing New Report Gives U.S. ""F"" Grade over Refugee Treatment, Hungary Approves Law Criminalizing Those Who Help Migrants, U.N. Investigators: Syrian Gov't Committed War Crimes in Eastern Ghouta, EPA Releases Long-Suppressed ""Nightmare"" Study on Water Contamination, Nearly 100 U.S. Meteorologists to Stage On-Air Climate Change Protest, Climate Change Fuels Floods in Texas, Ivory Coast, India, Bangladesh, Former Archbishop of D.C. Removed Over Sexual Abuse Accusations, Disney Raises 21st Century Fox Takeover Bid to $71 Billion, UNC Student Faces Possible Expulsion Over Confederate Statue Protest","Thu, 21 Jun 2018 08:00:00 -0400",democracy now,"Headlines for June 21, 2018",http://www.democracynow.org/2018/6/21/headlines
