,author,description,publishedAt,source,title,url,urlToImage
0,Steve Benen,"To appreciate the consequences of Republicans stealing a Supreme Court seat, look no further than the growing list of 5-4 rulings that delight the right.",2018-06-26T18:17:34Z,msnbc,"Two years after the 'heist of the century,' Republicans reap the rewards",http://www.msnbc.com/rachel-maddow-show/two-years-after-the-heist-the-century-republicans-reap-the-rewards,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/170410-gorsuch-scotus-swearing-in-msnbc-1153a.jpg?itok=JXANN7Oq
1,MSNBC.com,"When a group of firefighters in Charlotte, North Carolina saw a family trying to fill their kiddie pool with pots of water from the sink, they thought of a quick fix to help them beat the heat.",2018-06-26T18:07:36Z,msnbc,Firefighters help neighborhood kids beat the heat,https://www.msnbc.com/craig-melvin/watch/firefighters-help-neighborhood-kids-beat-the-heat-1264400963686,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_melvin_smile_180626_1920x1080.1200;630;7;70;5.jpg
2,MSNBC.com,White House Press Secretary Sarah Huckabee Sanders is offering lessons in civility and giving credit to President Trump. Ali Velshi visits some moments when the President has been decidedly uncivil.,2018-06-26T17:01:20Z,msnbc,How President Trump’s uncivil rhetoric is resonating,https://www.msnbc.com/velshi-ruhle/watch/how-president-trump-s-uncivil-rhetoric-is-resonating-1264345667727,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_vr_civility_180626_1920x1080.1200;630;7;70;5.jpg
3,MSNBC.com,Author Sophia Nelson joins Morning Joe to discuss the current state of the GOP.,2018-06-26T16:54:31Z,msnbc,"The state of conservatism, GOP under Trump",https://www.msnbc.com/morning-joe/watch/the-state-of-conservatism-gop-under-trump-1264342083591,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_mj_nelson5_180621_1920x1080.1200;630;7;70;5.jpg
4,MSNBC.com,MSNBC obtained the first video from inside a facility housing children separated from their parents that was not distributed by the government. Ali Velshi discusses this new video and the health effects of children being separated from their parents. Weighing…,2018-06-26T16:53:11Z,msnbc,Child psychiatrist: attachment to parents is like air,https://www.msnbc.com/velshi-ruhle/watch/migrant-children-in-detention-facilities-are-not-doing-well-1264340547834,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_vr_migrantchildren_180626_1920x1080.1200;630;7;70;5.jpg
5,MSNBC.com,Former Attorney General for the state of Hawaii Doug Chin joins Ali Velshi to discuss the Supreme Court’s decision to uphold President Trump’s travel ban following Trump v. Hawaii.,2018-06-26T16:47:09Z,msnbc,Supreme Court justices' travel ban decision is ‘troubling’,https://www.msnbc.com/velshi-ruhle/watch/supreme-court-justices-travel-ban-decision-is-troubling-1264331331909,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_vr_dougchin_160626_1920x1080.1200;630;7;70;5.jpg
6,MSNBC.com,"Following SCOTUS’ decision in Trump v. Hawaii, Neal Katyal, the attorney representing Hawaii joins Ali Velshi to discuss what this means for the travel ban moving forward.",2018-06-26T16:43:58Z,msnbc,Is President Trump’s travel ban constitutional?,https://www.msnbc.com/velshi-ruhle/watch/is-president-trump-s-travel-ban-constitutional-1264331843691,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_vr_neal_180626_1920x1080.1200;630;7;70;5.jpg
7,Steve Benen,"History will likely remember what the Supreme Court did today, and it will not be kind.",2018-06-26T16:40:20Z,msnbc,Supreme Court's conservatives side with...,http://www.msnbc.com/rachel-maddow-show/supreme-courts-conservatives-side-trump-muslim-ban,http://www.msnbc.com/sites/msnbc/files/styles/ratio--1_91-1--1200x630/public/2018-06-14t154246z_1059840940_rc174ccae0e0_rtrmadp_3_usa-court-china.jpg?itok=h5R2XyKZ
8,MSNBC.com,"Lee Gelernt, ACLU Civil Rights Lawyer, reacts to the Supreme Court decision upholding President Trump's travel ban: ""We're very disappointed. I think this opinion will go down historically as something that the country regrets. We believe that it was no quest…",2018-06-26T16:39:49Z,msnbc,ACLU Atty. on travel ban: 'No question this was a Muslim ban.',https://www.msnbc.com/hallie-jackson/watch/supreme-court-upholds-trump-travel-ban-aclu-responds-1264326211916,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_hallie_aclu_180626_1920x1080.1200;630;7;70;5.jpg
9,MSNBC.com,"The Supreme Court has upheld President Trump’s so-called travel ban, which restricts travel from several Muslim-majority countries. Ali Velshi speaks with ACLU Immigrant Rights Project director Omar Jadwat who thinks this decision is a “loss for the constitut…",2018-06-26T16:34:41Z,msnbc,ACLU Immigrant Rights Director: this is still a Muslim ban,https://www.msnbc.com/velshi-ruhle/watch/scotus-upholds-president-trump-s-travel-ban-1264325187878,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201806/n_vr_omar_180626_1920x1080.1200;630;7;70;5.jpg
