,author,category,description,publishedAt,source,title,url
0,Kit Daniels,Featured Stories,Anti-free speech measures not forward thinking at all,"Tue, 26 Jun 2018 18:29:35 +0000",infowars,"California Not “Forward Thinking,” Says Justice Kennedy",https://www.infowars.com/california-not-forward-thinking-says-justice-kennedy/
1,Infowars.com,Featured Stories,POTUS reaches deity status with some Indians.,"Tue, 26 Jun 2018 18:10:59 +0000",infowars,Watch: Indian Villagers Worship Trump As God,https://www.infowars.com/watch-indian-villagers-worship-trump-as-god/
2,Market Watch,Economy,Gen Xers particularly struggling,"Tue, 26 Jun 2018 17:34:06 +0000",infowars,“Gig Economy” Workers Suffering Financially – Study,https://www.infowars.com/gig-economy-workers-suffering-financially-study/
3,Fox News,World News,EU leaders still plan to fight 'hard Brexit.',"Tue, 26 Jun 2018 17:24:40 +0000",infowars,"Brexit Bill Becomes Law, Allowing UK to Leave European Union",https://www.infowars.com/brexit-bill-becomes-law-allowing-uk-to-leave-european-union/
4,The Alex Jones Show,Special Reports,Liberal fraud downplays his financial status.,"Tue, 26 Jun 2018 17:21:03 +0000",infowars,VIDEO: Bill Maher Pretends He Isn’t A Millionaire,https://www.infowars.com/video-bill-maher-pretends-he-isnt-a-millionaire/
5,Reuters,World at War,No immediate comment from government,"Tue, 26 Jun 2018 17:21:02 +0000",infowars,Bangladeshi Peacekeeper Killed in Sudan Ambush,https://www.infowars.com/bangladeshi-peacekeeper-killed-in-sudan-ambush/
6,Washington Times,Government,Fighting takes precedence over transitioning transgender troops,"Tue, 26 Jun 2018 17:09:06 +0000",infowars,"Army to Ditch Social Issues, Focus on Actual Battlefield Skills",https://www.infowars.com/army-to-ditch-social-issues-focus-on-actual-battlefield-skills/
7,The Alex Jones Show,Science & Tech,How long until it comes to America?,"Tue, 26 Jun 2018 17:08:32 +0000",infowars,IT’S HERE: Mark Of The Beast Technology Infects Swedish People,https://www.infowars.com/its-here-mark-of-the-beast-technology-infects-swedish-people/
8,The Alex Jones Show,Economy,Trump is helping America get back on its feet.,"Tue, 26 Jun 2018 17:01:47 +0000",infowars,"The Answer To Prosperity, Self-Sustaining Economy",https://www.infowars.com/the-answer-to-prosperity-self-sustaining-economy/
9,Voice of Europe,Globalism,Nationalist surge defeats several leftist strongholds,"Tue, 26 Jun 2018 17:00:18 +0000",infowars,Italian Socialists Lose Big to Anti-Migration Coalition,https://www.infowars.com/italian-socialists-lose-big-to-anti-migration-coalition/
10,David Knight,Science & Tech,US Army training to fight in subterranean facilities.,"Tue, 26 Jun 2018 16:52:52 +0000",infowars,Tunnel Warfare: Half $Billion to Fight Underground,https://www.infowars.com/tunnel-warfare-half-billion-to-fight-underground/
11,Infowars.com,Featured Stories,"Rally crowd chants, 'Lock her up!'","Tue, 26 Jun 2018 16:52:19 +0000",infowars,Trump Scorches Crooked Hillary: “Blames everyone for losing – but herself!”,https://www.infowars.com/trump-scorches-crooked-hillary-blames-everyone-for-losing-but-herself/
12,Paul Joseph Watson,Featured Stories,"""The entire government of the United States had become a shambles"".","Tue, 26 Jun 2018 16:52:12 +0000",infowars,Conrad Black: Trump is Winning a “Bloodless Civil War” Against the Establishment,https://www.infowars.com/conrad-black-trump-is-winning-a-bloodless-civil-war-against-the-establishment/
13,Westmonster,Globalism,Says policy not definitively good,"Tue, 26 Jun 2018 16:50:44 +0000",infowars,Hungary FM Rejects Multiculturalism,https://www.infowars.com/hungary-fm-rejects-multiculturalism/
