,author,description,publishedAt,source,title,url,urlToImage
0,Zoe Szathmary,"A hummingbird which wound up at a Virginia fire station was given a dose of sugar water before it flew away, a local fire department said.",2018-06-26T19:45:00Z,fox news,Virginia firefighters treat guest hummingbird with sugar water in social media post,http://www.foxnews.com/science/2018/06/26/virginia-firefighters-treat-guest-hummingbird-with-sugar-water-in-social-media-post.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/26/virginia-firefighters-treat-guest-hummingbird-with-sugar-water-in-social-media-post/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529952589687.jpg?ve=1
1,Madeline Farber,"Residents of a neighborhood in La Porte, Texas were baffled to find a blacktip shark next to a curb last week.",2018-06-26T19:28:00Z,fox news,Blacktip shark mysteriously appears in Texas neighborhood,http://www.foxnews.com/science/2018/06/26/blacktip-shark-mysteriously-appears-in-texas-neighborhood.html,http://a57.foxnews.com/images.foxnews.com/content/dam/fox-news/images/2018/06/26/shark3.jpg.img.png/0/0/1530041428446.png?ve=1
2,,Supreme Court: Ban is premised on legitimate goals of stopping unvetted people from entering and increasing security; insight from former DOJ prosecutor James Trusty.,2018-06-26T19:25:23Z,fox news,Is the travel ban ruling a victory for the administration?,http://video.foxnews.com/v/5802203528001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/26/640/360/694940094001_5802214153001_5802203528001-vs.jpg
3,,New weapon in fight against opioid epidemic; Matt Finn reports from Chicago.,2018-06-26T19:21:14Z,fox news,Feds use dogs to sniff out drugs in mail packages,http://video.foxnews.com/v/5802203198001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/26/640/360/694940094001_5802185595001_5802203198001-vs.jpg
4,,"On 'The Daily Briefing,' Republican lawmaker from West Virginia discusses meeting with President Trump amid the travel ban decision.",2018-06-26T19:14:10Z,fox news,Sen. Shelley Moore Capito: A wall is in our best interest,http://video.foxnews.com/v/5802202904001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/26/640/360/694940094001_5802185415001_5802202904001-vs.jpg
5,| Fox News,Hackers are selling babies' personal data on the Dark Web foxnews.com,2018-06-26T18:56:41Z,fox news,Hackers are selling babies' personal data on the Dark Web,http://www.foxnews.com/tech/2018/06/26/hackers-are-selling-babies-personal-data-on-dark-web.html,http://a57.foxnews.com/images.foxnews.com/content/dam/fox-news/images/2018/06/26/darkweblistingedit.jpg.img.png/0/0/1530039313234.png?ve=1
6,Associated Press,"ORLANDO, Fla. (AP) — The former business manager for Apollo 11 moonwalker Buzz Aldrin said Tuesday she's being unfairly defamed in a lawsuit accusing her along with two of his children of misusing his credit cards and slandering him.",2018-06-26T18:22:00Z,fox news,Buzz Aldrin's ex-manager says she's been unfairly defamed,http://www.foxnews.com/science/2018/06/26/buzz-aldrins-ex-manager-says-shes-been-unfairly-defamed.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/26/buzz-aldrins-ex-manager-says-shes-been-unfairly-defamed/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1530037638463.jpg?ve=1
7,,Poll: Americans overwhelmingly support the concept of democracy. Fox News contributor Ari Fleischer discusses the civility feud and the Supreme Court's travel ban decision.,2018-06-26T18:20:41Z,fox news,Political jabs spark debate over civility in politics,http://video.foxnews.com/v/5802182265001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/26/640/360/694940094001_5802187705001_5802182265001-vs.jpg
8,,House Republican sounds off after DOJ rebuffs Nunes' request for more info on Russia case informants.,2018-06-26T18:11:38Z,fox news,Rep. Hice: Rosenstein has shown 'pattern of stonewalling',http://video.foxnews.com/v/5802179328001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/26/640/360/694940094001_5802181976001_5802179328001-vs.jpg
9,Fox News,"Fox News Democratic candidates revolt against Pelosi in House races across the country Fox News HAMPTON, N.H. – Anyone looking for signs that Nancy Pelosi has lost clout within the Democratic ranks this cycle need only catch a glimpse of last week's candidate…",2018-06-26T18:03:01Z,fox news,Democratic candidates revolt against Pelosi in House races across the country - Fox News,http://www.foxnews.com/politics/2018/06/26/democratic-candidates-revolt-against-pelosi-in-house-races-across-country.html,http://a57.foxnews.com/media.foxbusiness.com/BrightCove/854081161001/201806/1220/0/0/854081161001_5795382316001_5795383040001-vs.jpg?ve=1
10,JaJuan M. Morris-Guity,"An unidentified knife-wielding man slashed an officer to death outside a police station in Japan Tuesday morning before grabbing and using his firearm to gun down a nearby elementary school security guard, officials say.",2018-06-26T17:40:00Z,fox news,"Police officer slashed, security guard shot during rampage in Japan",http://www.foxnews.com/world/2018/06/26/police-officer-slashed-security-guard-shot-during-rampage-in-japan.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/26/police-officer-slashed-security-guard-shot-during-rampage-in-japan/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1530033892767.jpg?ve=1
