,author,description,publishedAt,source,title,url,urlToImage
0,,Judge Napolitano and Marie Harf discuss the Trump Administration's ‘no-tolerance’ policy at the nation's southern border.,2018-06-20T18:51:36Z,fox news,Freedom Watch: Napolitano and Harf dig in on immigration,http://video.foxnews.com/v/5799861947001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799863928001_5799861947001-vs.jpg
1,,Find out where and who caught a rare cotton candy-colored lobster,2018-06-20T18:50:00Z,fox news,See it: Cotton candy-colored lobster caught,http://video.foxnews.com/v/5799865520001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799862544001_5799865520001-vs.jpg
2,,"Steve Harrigan reports from outside a detention facility in Combes, Texas.",2018-06-20T18:47:58Z,fox news,Media not given access to 'tender age' shelters,http://video.foxnews.com/v/5799862990001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799862526001_5799862990001-vs.jpg
3,,"Reports: More than 2,000 children have been separated from their parents since 'zero tolerance' took effect in May; reaction from Alayna Treene, Axios associate editor and reporter.",2018-06-20T18:47:54Z,fox news,Critics denounce 'tender age' shelters,http://video.foxnews.com/v/5799860019001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799862567001_5799860019001-vs.jpg
4,,"Nearly a year after the body of little boy washed up ashore on a Texas beach, investigators have identified the boy and tracked down his mother.",2018-06-20T18:38:34Z,fox news,‘Little Jacob’ has been identified,http://video.foxnews.com/v/5799856889001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799857915001_5799856889001-vs.jpg
5,,"Republican chairman of the House Judiciary Committee says his new immigration reform bill overturns the Flores decision, allows families to be detained together and provides funding for additional detention centers.",2018-06-20T18:22:23Z,fox news,Goodlatte: New immigration bill addresses child separation,http://video.foxnews.com/v/5799849771001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799854582001_5799849771001-vs.jpg
6,Associated Press,A meeting of Italy's anti-migrant interior minister with like-minded Austrian populist leaders on Wednesday in Rome heralded a new hard-line axis forming in Europe on migration issues with pledges to more firmly protect Europe's southern border.,2018-06-20T18:13:37Z,fox news,"Italy, Austria signal new hard-line axis on migration",http://www.foxnews.com/world/2018/06/20/italy-austria-signal-new-hard-line-axis-on-migration.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/20/italy-austria-signal-new-hard-line-axis-on-migration/_jcr_content/par/featured-media/media-0.img.png/0/0/1529519269716.png?ve=1
7,James Rogers,Scientists have discovered a site off the Texas coast that they say is the world’s first known manta ray nursery.,2018-06-20T18:12:00Z,fox news,"World's first known manta ray nursery discovered off the Texas coast, scientists say",http://www.foxnews.com/science/2018/06/20/worlds-first-known-manta-ray-nursery-discovered-off-texas-coast-scientists-say.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/science/2018/06/20/worlds-first-known-manta-ray-nursery-discovered-off-texas-coast-scientists-say/_jcr_content/par/featured_image/media-0.img.jpg/0/0/1529518900352.jpg?ve=1
8,,"“NBC Nightly News” anchor Lester Holt failed to mention a major story in his broadcast, skipping over the news on Inspector General Michael Horowitz being grilled by House Judiciary and Oversight Committees.",2018-06-20T18:05:10Z,fox news,Lester Holt's 'NBC Nightly News' fails to mention inspector general hearing,http://video.foxnews.com/v/5799841551001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799851578001_5799841551001-vs.jpg
9,,President of Judicial Watch on whether the fired FBI director should be held accountable for using a personal email account to conduct FBI business.,2018-06-20T17:57:36Z,fox news,Tom Fitton: You can't take anything Comey says at face value,http://video.foxnews.com/v/5799836119001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/20/640/360/694940094001_5799847280001_5799836119001-vs.jpg
