,author,category,description,publishedAt,source,title,url
0,Owen Shroyer,Globalism,Learn how POTUS has the elite shaking in their boots.,"Thu, 21 Jun 2018 16:51:58 +0000",infowars,Why Donald Trump Scares The Globalists,https://www.infowars.com/why-donald-trump-scares-the-globalists/
1,Owen Shroyer,Special Reports,When will we see her in jail?,"Thu, 21 Jun 2018 16:42:07 +0000",infowars,Inspector General Finds Clinton Broke The Law Three Different Times,https://www.infowars.com/inspector-general-finds-clinton-broke-the-law-three-different-times/
2,Washinton Times,Government,Abandonment of strong immigration promises chief reason  ,"Thu, 21 Jun 2018 16:36:45 +0000",infowars,House Immigration Bills Doomed to Fail – Conservatives,https://www.infowars.com/house-immigration-bills-doomed-to-fail-conservatives/
3,Phys.org,Science & Tech,Experts find nearly 80 in record time,"Thu, 21 Jun 2018 16:26:53 +0000",infowars,“Treasure Trove” of Exoplanets Discovered,https://www.infowars.com/treasure-trove-of-exoplanets-discovered/
4,Daily Mail,Science & Tech,Pin number obsoleted,"Thu, 21 Jun 2018 16:14:44 +0000",infowars,Fingerprint-Scanning Smart-Cards to Replace Debit Cards,https://www.infowars.com/fingerprint-scanning-smart-cards-to-replace-debit-cards/
5,Washington Free Beacon,Government,"Includes subsidized dorms, living expenses","Thu, 21 Jun 2018 15:36:36 +0000",infowars,Dem Congressman Wants Taxpayer-Funded Housing For House Members,https://www.infowars.com/dem-congressman-wants-taxpayer-funded-housing-for-house-members/
6,José Niño ,Economy,Program ultimately hurts private sector,"Thu, 21 Jun 2018 15:26:02 +0000",infowars,Universal Basic Income Fails to Reduce Poverty,https://www.infowars.com/universal-basic-income-fails-to-reduce-poverty/
7,Express,Globalism,Gains from interest payments on bonds since 2010,"Thu, 21 Jun 2018 15:16:22 +0000",infowars,Shock: Germany Made Billions From Greek Debt,https://www.infowars.com/shock-germany-made-billions-from-greek-debt/
8,Mikael Thalen,Featured Stories,"'We got back our great fallen heroes, the remains sent back today...'","Thu, 21 Jun 2018 15:13:39 +0000",infowars,Trump: North Korea Returns Remains of 200 U.S. Troops,https://www.infowars.com/trump-north-korea-returns-remains-of-200-u-s-troops/
9,Mikael Thalen,Featured Stories,Face scanning systems now active in nine airports across country,"Thu, 21 Jun 2018 15:12:00 +0000",infowars,Florida Airport to Face Scan U.S. Citizens Traveling Abroad,https://www.infowars.com/florida-airport-to-face-scan-u-s-citizens-traveling-abroad/
10,Voice of Europe,Globalism,Anti-immigration platform fostered surge in poll numbers,"Thu, 21 Jun 2018 15:08:03 +0000",infowars,Swedish Nationalist Party Now Largest,https://www.infowars.com/swedish-nationalist-party-now-largest/
11,Zero Hedge,Economy,Wants US to minimize tariffs on Chinese goods,"Thu, 21 Jun 2018 14:57:26 +0000",infowars,Trump Win: China “Quietly” Asks US to De-Escalate Trade War,https://www.infowars.com/trump-win-china-quietly-asks-us-to-de-escalate-trade-war/
12,Dan Lyman,Featured Stories,Incorrectly accused her of serving him pork,"Thu, 21 Jun 2018 13:39:03 +0000",infowars,Video: Muslim Passenger Rages at Stewardess Over Turkey Sandwich: “Stupid F**king Bitch”,https://www.infowars.com/video-muslim-passenger-rages-at-stewardess-over-turkey-sandwich-stupid-fking-bitch/
13,Dan Lyman,Featured Stories,Media silent on identity of suspect,"Thu, 21 Jun 2018 13:27:54 +0000",infowars,Migrant Activist Disappears – Moroccan Trucker Arrested,https://www.infowars.com/migrant-activist-disappears-moroccan-trucker-arrested/
14,Steve Watson ,Featured Stories,Facility opened in 2007.,"Thu, 21 Jun 2018 13:22:44 +0000",infowars,Deranged: Leftists Are Blaming Trump For 2016 Abuses At Immigrant Detention Center,https://www.infowars.com/deranged-leftists-are-blaming-trump-for-2016-abuses-at-immigrant-detention-centre/
15,Infowars.com,Featured Stories,POTUS gets the job done again.,"Thu, 21 Jun 2018 13:06:01 +0000",infowars,"Breaking Live! Supremes Torpedo Bezos’ Amazon, As The Left Pushes For Civil War",https://www.infowars.com/watch-live-trump-signs-executive-order-cleaning-up-obamas-cages/
16,Town Hall,Featured Stories,Ignore Outrage Inc. and it will die out,"Thu, 21 Jun 2018 12:31:34 +0000",infowars,Don’t Get Played; Get Woke to the Outrage Scam,https://www.infowars.com/dont-get-played-get-woke-to-the-outrage-scam/
17,RT,Featured Stories,Return to old rules after quota system failure?,"Thu, 21 Jun 2018 12:23:09 +0000",infowars,"Merkel, Macron Want EU Border States to Deal With Migrants",https://www.infowars.com/merkel-macron-want-eu-border-states-to-deal-with-migrants/
18,Paul Joseph Watson,Featured Stories,"""We were on our way home when he suddenly started to sing ‘Allah, Allah’"".","Thu, 21 Jun 2018 11:50:50 +0000",infowars,"Austria: Catholic Children Forced to Learn Islamic Songs, Punished if They Refused",https://www.infowars.com/austria-catholic-children-forced-to-learn-islamic-songs-punished-if-they-refused/
19,Jerusalem Post,Featured Stories,Charges follow collapse of plea bargain,"Thu, 21 Jun 2018 11:37:47 +0000",infowars,Sara Netanyahu Indicted For Fraud,https://www.infowars.com/sara-netanyahu-indicted-for-fraud/
20,Reuters,Hot News,Monumental development for families of POW/KIA,"Thu, 21 Jun 2018 11:32:34 +0000",infowars,Trump Says North Korea Has Returned Remains of 200 U.S. War Dead,https://www.infowars.com/trump-says-north-korea-has-returned-remains-of-200-u-s-war-dead/
21,Reuters,World News,Japan is eyeing a meeting between Prime Minister Shinzo Abe and Kim Jong Un,"Thu, 21 Jun 2018 11:21:24 +0000",infowars,Japan to halt missile attack drills after Trump-Kim summit: Kyodo,https://www.infowars.com/japan-to-halt-missile-attack-drills-after-trump-kim-summit-kyodo/
22,Breitbart,Featured Stories,Trump signed an executive order on Wednesday that keeps border crossing family units in detention together while they are prosecuted. ,"Thu, 21 Jun 2018 11:20:19 +0000",infowars,Nancy Pelosi Demands Zero Border Enforcement: Detention of Illegal Aliens Is ‘Form of Child Abuse’,https://www.infowars.com/nancy-pelosi-demands-zero-border-enforcement-detention-of-illegal-aliens-is-form-of-child-abuse/
23,Ned Ryun ,Government,'Republicans should call Schumer’s bluff and pass Cruz’s bill',"Thu, 21 Jun 2018 11:18:19 +0000",infowars,"Dems allow separation of parents, children to continue, just to score political points",https://www.infowars.com/dems-allow-separation-of-parents-children-to-continue-just-to-score-political-points/
24,Bill McMorris ,U.S. News,Whole Women's Health demanded Texas bishops' private communications,"Thu, 21 Jun 2018 11:16:16 +0000",infowars,Court Rejects Abortion Giant’s Demand for Church Emails,https://www.infowars.com/court-rejects-abortion-giants-demand-for-church-emails/
