,author,description,publishedAt,source,title,url
0,mail@democracynow.org (Democracy Now!),"More than 2,000 migrant children remain separated from their parents, jailed in detention centers across the country. The Washington Post reports that U.S. authorities are collecting mug shots of the detained minors, some showing the children in tears. Immigrant children jailed in a converted Walmart in Texas are being forced to recite the Pledge of Allegiance in English each morning. At some of the facilities, the children are counted in ""prison-style"" head counts. In some cases, parents have already been deported, while their children remain in United States custody. For more, we speak with Dr. Dana Sinopoli, a psychologist who penned an open letter condemning the Trump administration's practice of separating children from their parents at the border. 
","Tue, 26 Jun 2018 08:52:12 -0400",democracy now,Psychologist: Separating Children at the Border Creates Trauma Passed Down Through Generations,http://www.democracynow.org/2018/6/26/psychologist_separating_children_at_the_border
1,mail@democracynow.org (Democracy Now!),"More than 280 players in the National Football League sustained concussions in the 2017 season. That's an average of 12 per week. A recent study of the brains of 111 deceased NFL players found all but one were found to have CTE, chronic traumatic encephalopathy. CTE is a degenerative brain disease linked to repeated blows to the head. We speak with NFL three-time Pro Bowler and longtime activist Michael Bennett about CTE, the risks athletes take while playing football and how fans need to humanize the players they love to watch on screen. 
","Tue, 26 Jun 2018 08:35:28 -0400",democracy now,"Michael Bennett on Concussions & Brain Injuries in NFL: ""Fans Need to Stop Dehumanizing Players""",http://www.democracynow.org/2018/6/26/michael_bennett_on_concussions_brain_injuries
2,mail@democracynow.org (Democracy Now!),"When Michael Bennett was 12 years old, James Byrd was lynched in Jasper, Texas. The African-American man was brutally murdered by white supremacists who chained him to the back of their truck by his ankles and dragged him for more than three miles along the road. By the time the men untied his body from the back of the truck, Byrd's head and right arm had been severed. Michael Bennett calls this killing his ""Emmett Till moment."" We speak with the NFL player and activist about his childhood and the influence of his mother. 
","Tue, 26 Jun 2018 08:24:29 -0400",democracy now,"Michael Bennett Speaks Out About Trauma of Growing Up Black in America & His ""Emmett Till Moment""",http://www.democracynow.org/2018/6/26/michael_bennett_speaks_out_about_trauma
3,mail@democracynow.org (Democracy Now!),"Over the past two seasons, dozens of National Football League players have knelt during the national anthem to protest police shootings of black teenagers and men like Antwon Rose, a 17-year-old unarmed African-American teenager who was shot dead by East Pittsburgh police last week. The NFL's on-field protests began in August 2016 when quarterback Colin Kaepernick refused to stand for the anthem to protest racism and police brutality. The National Football League announced last month that it will fine teams if players refuse to stand for the national anthem before games. Under the new rules adopted by the league's 32 owners, players will be allowed to stay in the locker room during the anthem. We speak with NFL three-time Pro Bowler and longtime activist Michael Bennett, who has been part of a movement, led by former 49ers quarterback Colin Kaepernick, protesting police shootings of unarmed black men. Bennett was recently traded to the Super Bowl champions Philadelphia Eagles—the same team President Trump recently disinvited to the White House. He is the author of a new book, ""Things That Make White People Uncomfortable."" ","Tue, 26 Jun 2018 08:10:23 -0400",democracy now,"""Things That Make White People Uncomfortable"": NFL's Michael Bennett on Kneeling for Racial Justice",http://www.democracynow.org/2018/6/26/things_that_make_white_people_uncomfortable
4,mail@democracynow.org (Democracy Now!),"Mattis: U.S. Preparing to Imprison Immigrant Children on Two Texas Military Bases, Border Patrol to Stop Handing Immigrant Parents Over for Prosecution, In El Paso, Immigrant Parents Demand Return of Their Children, AP: Algeria Has Expelled 13,000 Migrants into Sahara Desert, Newly Released Scott Pruitt Emails Show More Ties to Lobbyist, Fossil Fuel Industry, NOAA Proposed Dropping ""Climate"" from Mission, Judge Dismisses Cities' Effort to Force Fossil Fuel Companies to Pay for Climate Change, Trump Attacks & Threatens Rep. Maxine Waters, PA: Family Holds Funeral for Antwon Rose, Unarmed Black Teen Killed by Police, Mexico: 2 More Political Candidates Assassinated in Lead-Up to Presidential Election, Brazilian Radio Journalist Jairo Sousa Assassinated in Pará, Argentina: Unions Launch 24-Hour General Strike to Protest Austerity, FDA Approves Cannabis-Based Drug for the First Time","Tue, 26 Jun 2018 08:00:00 -0400",democracy now,"Headlines for June 26, 2018",http://www.democracynow.org/2018/6/26/headlines
5,mail@democracynow.org (Democracy Now!),"To understand America in the age of Trump, prize-winning documentary filmmaker Eugene Jarecki says to look no further than the checkered history of Elvis Presley. Jarecki's new documentary ""The King” opens in New York City this week. It follows the filmmaker as he drives Elvis Presley's 1963 Rolls Royce across the United States in an attempt to understand what has happened to America in the age of Trump. ""The American dream … wasn't for anybody if you weren't a white man,"" Jarecki said. ""We got here because this nation puts power and money ahead of democracy. We have been hijacked by capitalism."" We speak with Jarecki about Elvis, cultural appropriation, the civil rights movement and the story of this country. 
","Mon, 25 Jun 2018 08:49:46 -0400",democracy now,"""The King"" Director Eugene Jarecki: Elvis Presley's Rise and Fall Is a Metaphor for America Today",http://www.democracynow.org/2018/6/25/the_king_director_eugene_jarecki_elvis
6,mail@democracynow.org (Democracy Now!),"We feature voices of the thousands who marched on the nation's Capitol Saturday for the Poor People's Campaign. The mass demonstration followed six weeks of actions around the country and more than 2,500 arrests, as protesters join what they are calling a ""moral revival"" to demand an end to systemic racism, poverty, the war economy and ecological devastation. The march brought together activists from around the country more than 50 years after demonstrators converged on Washington, D.C., in 1968 to take up the cause that Rev. Dr. Martin Luther King Jr. had been fighting for when he was assassinated on April 4, 1968: the original Poor People's Campaign. Demonstrators rallied to protest widespread poverty just days after U.S. Ambassador Nikki Haley slammed a new U.N. report slamming the Trump administration's policies for worsening the state of poverty in the United States.  
","Mon, 25 Jun 2018 08:30:51 -0400",democracy now,"50 Years After MLK's Poor People’s Campaign, 2,500+ Arrested Over 6 Weeks Calling for Moral Revival",http://www.democracynow.org/2018/6/25/50_years_after_mlk_s_poor
7,mail@democracynow.org (Democracy Now!),"President Trump's ""zero tolerance"" crackdown on immigrants and asylum seekers continues as parents of more than 2,000 separated children say they still don't know where their kids are. Trump now says migrants should be deported without judges. We'll get response from Maru Mora Villalpando, an undocumented immigrant and mother with the group Mijente and Northwest Detention Center Resistance. She has a hearing in her own immigration case on Tuesday and says the best way to stop the separation of children from their families at the border is to drop the charges against their parents. ","Mon, 25 Jun 2018 08:11:48 -0400",democracy now,Undocumented Mother: Stop Separation of Migrant Children by Dropping Charges Against Their Parents,http://www.democracynow.org/2018/6/25/undocumented_mother_stop_separation_of_migrant
8,mail@democracynow.org (Democracy Now!),"Trump Says Immigrants Should Be Deported Without Seeing Judges, Nationwide Protests Demand Reunification of Migrant Families, Abolition of ICE, Yemen: Tens of Thousands Flee U.S.-Backed Offensive Against Port City Hodeidah, Kushner Says U.S. to Unveil Israeli-Palestinian Peace Plan Soon, Turkish President Erdogan Declares Victory in Presidential Election, Saudi Arabia Lifts Ban on Women Drivers; Feminist Activists Remain Jailed, Supreme Court Rules Gov't Needs Warrant to Collect Location Data from Cell Companies, Ex-Trump Campaign Staffer Tells Black Democrat, ""You're Out of Your Cotton-Picking Mind"", Millions Participate in Pride Marches Nationwide","Mon, 25 Jun 2018 08:00:00 -0400",democracy now,"Headlines for June 25, 2018",http://www.democracynow.org/2018/6/25/headlines
9,mail@democracynow.org (Democracy Now!),"An Eritrean man took his own life after being deported from the United States earlier this month. Zeresenay Ermias Testfatsion died by suicide at the Cairo International Airport. He was 34 years old. Testfatsion sought asylum in the United States in 2017, fleeing violence in Eritrea. He spent more than a year detained in South Florida and Ohio before he was deported. Friends and family are demanding to know why he was deported to Eritrea, despite his fears that he would be tortured or even killed there. We speak with Christine Ho, founder of a volunteer visitation program that provides support for immigrants and asylum-seekers inside Broward Transitional Center, the immigrant detention center in South Florida where Testfatsion was jailed for more than a year.
","Fri, 22 Jun 2018 08:50:44 -0400",democracy now,ICE Detention is “Soul-Destroying”: Eritrean Immigrant Dies by Suicide During Deportation,http://www.democracynow.org/2018/6/22/ice_detention_is_soul_destroying_eritrean
