,author,category,description,publishedAt,source,title,url
0,Ron Paul ,Featured Stories,Allowing state gov'ts to force out-of-state retailers to comply with state tax laws harms small businesses...,"Mon, 25 Jun 2018 16:58:00 +0000",infowars,Ron Paul: No (Internet Sales) Taxation without Representation!,https://www.infowars.com/ron-paul-no-internet-sales-taxation-without-representation/
1,Infowars.com,Featured Stories,James O'Keefe breaks down the fall of journalism in the US.,"Mon, 25 Jun 2018 16:57:07 +0000",infowars,Proof American Media Uses Soviet Tactics,https://www.infowars.com/proof-american-media-uses-soviet-tactics/
2,Jamie White,Featured Stories,"Violence inevitable following Maxine Waters' calls to intimidate Trump supporters, he says.","Mon, 25 Jun 2018 16:46:28 +0000",infowars,"James Woods Warns Conservatives: Get Armed and Vote, Your Life Depends On It",https://www.infowars.com/james-woods-warns-conservatives-get-armed-and-vote-your-life-depends-on-it/
3,Jon Bowne,Featured Stories,MSM totally ignores Trump's accomplishments.,"Mon, 25 Jun 2018 16:40:01 +0000",infowars,The Media Demoralization Of America,https://www.infowars.com/the-media-demoralization-of-america/
4,Mikael Thalen,Featured Stories,'SpearHead 360' van reportedly comes with zero-day exploits for Android and Apple devices,"Mon, 25 Jun 2018 16:35:55 +0000",infowars,Company Introduces $5 Million Phone Hacking Surveillance Van,https://www.infowars.com/company-introduces-5-million-phone-hacking-surveillance-van/
5,Jon Bowne,Featured Stories,Will anyone be held accountable?,"Mon, 25 Jun 2018 16:26:04 +0000",infowars,IG Report Info Still Trickling Out,https://www.infowars.com/ig-report-info-still-trickling-out/
6,CNBC,Economy,Treasury Secretary Mnuchin includes China on investment restrictions,"Mon, 25 Jun 2018 16:21:15 +0000",infowars,US Cracks Down on Countries Stealing Tech,https://www.infowars.com/us-cracks-down-on-countries-stealing-tech/
7,Dan Lyman,Featured Stories,Video contradicts media narrative,"Mon, 25 Jun 2018 16:10:17 +0000",infowars,WATCH: Hundreds of Migrants Storm Croatian Border Shouting “Allahu Akbar”,https://www.infowars.com/watch-hundreds-of-migrants-storm-croatian-border-shouting-allahu-akbar/
8,Westmonster,Globalism,Includes migrants from Germany ,"Mon, 25 Jun 2018 15:58:33 +0000",infowars,Tipping Point: Austria to Close Border if Germany Turns Away Migrants,https://www.infowars.com/tipping-point-austria-to-close-border-if-germany-turns-away-migrants/
9,Ben Perchiron ,Globalism,Dumpsters overflowed with donations,"Mon, 25 Jun 2018 15:50:49 +0000",infowars,"Migrants Throw Away Red Cross Clothes, Towels",https://www.infowars.com/migrants-throw-away-red-cross-clothes-towels/
10,The Washington Times,Government,"Immigration agency becoming 'tool of white nationalists,' he says.","Mon, 25 Jun 2018 15:43:35 +0000",infowars,Dem Congressman To Write Bill Abolishing ICE,https://www.infowars.com/dem-congressman-to-write-bill-abolishing-ice/
11,The Alex Jones Show,Special Reports,Liberal talk show host doubles down on controversial comments.,"Mon, 25 Jun 2018 15:33:13 +0000",infowars,Bill Maher Hopes Conservatives Kill Themselves,https://www.infowars.com/bill-maher-hopes-conservatives-kill-themselves/
12,Mikael Thalen,Featured Stories,Decision comes amid easing tensions following Trump-Kim Summit,"Mon, 25 Jun 2018 15:30:34 +0000",infowars,North Korea Reportedly Cancels Annual Anti-U.S. Rally,https://www.infowars.com/north-korea-reportedly-cancels-annual-anti-u-s-rally/
13,Clifford Cunningham,Featured Stories,"Official warns far-left protestors will eventually ""come with guns""","Mon, 25 Jun 2018 15:25:54 +0000",infowars,Historian Links Current Political Environment to Pre-Civil War,https://www.infowars.com/historian-links-current-political-environment-to-pre-civil-war/
14,Infowars.com,Featured Stories,Globalists move to take out POTUS.,"Mon, 25 Jun 2018 13:14:20 +0000",infowars,Coup D’etat Now LIVE: Deep State Launches 25th Amendment Plan To Remove Trump,https://www.infowars.com/watch-live-21st-century-progress-in-saudi-arabia-american-freedom-under-threat/
15,Infowars.com,Featured Stories,The left has pushed it too far.,"Mon, 25 Jun 2018 12:56:22 +0000",infowars,America Is Now In A Civil War,https://www.infowars.com/america-is-now-in-a-civil-war/
16,Reuters,World News,All three men had sought asylum from the middle east,"Mon, 25 Jun 2018 12:48:32 +0000",infowars,Swedish court sentences three to prison over synagogue arson attack,https://www.infowars.com/swedish-court-sentences-three-to-prison-over-synagogue-arson-attack/
17,Bill Gertz ,World News,First visit to Beijing comes amid heightened tensions,"Mon, 25 Jun 2018 12:46:23 +0000",infowars,Mattis Heads to China for Strategic Talks with PLA,https://www.infowars.com/mattis-heads-to-china-for-strategic-talks-with-pla/
18,Phil Stewart ,World News,'We'll know pretty soon if they're going to operate in good faith or no',"Mon, 25 Jun 2018 12:44:14 +0000",infowars,US To Give North Korea Post-Summit Timeline With ‘Asks’ Soon: Defense Official,https://www.infowars.com/us-to-give-north-korea-post-summit-timeline-with-asks-soon-defense-official/
19,Paul Joseph Watson,Featured Stories,Feature prompts angry reaction on social media.,"Mon, 25 Jun 2018 12:42:33 +0000",infowars,Swedish TV Show’s “Traditional” Midsummer Celebration: Woman in Hijab Cooking a Kebab,https://www.infowars.com/swedish-tv-shows-traditional-midsummer-celebration-woman-in-hijab-cooking-a-kebab/
20,Rebecca Kheel ,Hot News,National security advisor John Bolton heading to Moscow next week,"Mon, 25 Jun 2018 12:42:07 +0000",infowars,"Trump looks to make more history, this time with Putin",https://www.infowars.com/trump-looks-to-make-more-history-this-time-with-putin/
21,Reuters,World News,The vote ushers in a powerful executive presidency backed by a narrow majority in a 2017 referendum,"Mon, 25 Jun 2018 12:40:33 +0000",infowars,Turkey’s Erdogan wins sweeping new powers after election victory,https://www.infowars.com/turkeys-erdogan-wins-sweeping-new-powers-after-election-victory/
22,Susan Crabtree ,Government,"Florida lawmakers, activists say Castros ordered 1996 downing of 'Brothers to the Rescue' planes","Mon, 25 Jun 2018 12:38:12 +0000",infowars,DeSantis Joins Call for Trump to Indict Raul Castro,https://www.infowars.com/desantis-joins-call-for-trump-to-indict-raul-castro/
23,The Bookseller,Featured Stories,Leftists erasing history in name of social justice,"Mon, 25 Jun 2018 12:26:29 +0000",infowars,Laura Ingalls Wilder Award Renamed After ‘Racism Concerns’,https://www.infowars.com/laura-ingalls-wilder-award-renamed-after-racism-concerns/
24,Town Hall,Featured Stories,Democrat base won’t tolerate a retreat from extremism,"Mon, 25 Jun 2018 12:09:23 +0000",infowars,Liberals’ Hatred Will Inevitably Turn Into Violence,https://www.infowars.com/liberals-hatred-will-inevitably-turn-into-violence/
25,Steve Watson ,Featured Stories,"""They follow the exact pattern that Hitler has""","Mon, 25 Jun 2018 11:27:32 +0000",infowars,"Deranged Reiners: Trump Is ‘Evil’ Like Hitler, Supporters Are ‘Hardcore Racists’",https://www.infowars.com/deranged-reiners-trump-is-evil-like-hitler-supporters-are-hardcore-racists/
26,Reuters,Featured Stories,Military role in immigration enforcement could expand,"Mon, 25 Jun 2018 11:25:37 +0000",infowars,Pentagon Eyes Temporary Camps For Migrants at Two Bases,https://www.infowars.com/pentagon-eyes-temporary-camps-for-migrants-at-two-bases/
27,Sputnik,Featured Stories,Major step down path to European Army,"Mon, 25 Jun 2018 11:25:13 +0000",infowars,EU to Formally Move on Creation of Military Intervention Force,https://www.infowars.com/eu-to-formally-move-on-creation-of-military-intervention-force/
28,Breitbart,Featured Stories,“Migration movements have become the driving force behind growth and decline of the population of Europe.”,"Mon, 25 Jun 2018 11:19:43 +0000",infowars,Study: Mass Migration Nearly The Sole Driver of European Population Growth,https://www.infowars.com/study-mass-migration-nearly-the-sole-driver-of-european-population-growth/
29,Breitbart,Featured Stories,"The cover, the Time story that accompanied it, and the original image that spread on social media, were misleading in every way.","Mon, 25 Jun 2018 11:14:39 +0000",infowars,Bokhari: Establishment and Social Media Giants Fail to ‘Fact Check’ TIME Magazine’s Refugee Hoax Cover,https://www.infowars.com/bokhari-establishment-and-social-media-giants-fail-to-fact-check-time-magazines-refugee-hoax-cover/
30,Daily Caller,Featured Stories,"Democratic California Rep. Maxine Waters shocked political observers over the weekend by encouraging liberal mobs to harass Trump officials at restaurants, gas stations and even at home.","Mon, 25 Jun 2018 11:11:03 +0000",infowars,"New Normal: Trump Allies Face Harassment, Protests Anywhere They Show Their Faces",https://www.infowars.com/new-normal-trump-allies-face-harassment-protests-anywhere-they-show-their-faces/
31,RT,Featured Stories,"Fallon says that he would have conducted a 2016 interview “differently,” and that it was a “mistake.”","Mon, 25 Jun 2018 10:41:44 +0000",infowars,‘Be a man’: Trump attacks Fallon over low ratings ‘whimpering’ after ‘hair show’,https://www.infowars.com/be-a-man-trump-attacks-fallon-over-low-ratings-whimpering-after-hair-show/
32,Zero Hedge,Featured Stories,"It will be interesting to see years from now which ""narrative"" concerning Obama's legacy in the Syrian conflict future historians choose to emphasize.","Mon, 25 Jun 2018 10:23:29 +0000",infowars,Ben Rhodes Admits Obama Armed Jihadists In Syria In Bombshell Interview,https://www.infowars.com/ben-rhodes-admits-obama-armed-jihadists-in-syria-in-bombshell-interview/
33,Michael Snyder  ,Economy,"Unless something drastically changes in the very near future, there is no way that the U.S. is going to be able to get through this without experiencing severe pain.","Mon, 25 Jun 2018 10:05:34 +0000",infowars,"Things Just Went Nuclear In Our Trade War With China, And A Giant Shockwave Is About To Hit The U.S. Economy",https://www.infowars.com/things-just-went-nuclear-in-our-trade-war-with-china-and-a-giant-shockwave-is-about-to-hit-the-u-s-economy/
34,Jon Bowne,Featured Stories,Anti-Trump 'Resistance' becoming what they hate.,"Sun, 24 Jun 2018 22:48:10 +0000",infowars,Red Hen Refusal Stinks Of Fascism,https://www.infowars.com/red-hen-refusal-stinks-of-fascism/
35,Alex Jones,Featured Stories,Deep State readying next move to take down president.,"Sun, 24 Jun 2018 19:31:21 +0000",infowars,EX-CIA Head Calls For Revolt! Alex Jones Emergency Message To Trump,https://www.infowars.com/ex-cia-head-calls-for-revolt-alex-jones-emergency-message-to-trump/
36,Infowars.com,Featured Stories,America's immigration policy 'laughed at all over the world' he says.,"Sun, 24 Jun 2018 17:51:10 +0000",infowars,Trump: We Can’t Let Illegal Migrants ‘Invade Our Country’,https://www.infowars.com/trump-we-cant-let-illegal-migrants-invade-our-country/
37,The American Mirror,Featured Stories,'God is on our side!' she yells to crowd.,"Sun, 24 Jun 2018 17:08:35 +0000",infowars,Maxine Waters Calls For Public Harassment Crusade Against Trump Officials,https://www.infowars.com/maxine-waters-calls-for-public-harassment-crusade-against-trump-officials/
38,Sky News,Featured Stories,Crown Prince Muhammad bin Salman's reformations taking effect.,"Sun, 24 Jun 2018 16:57:50 +0000",infowars,Driving Ban for Women Ends in Saudi Arabia,https://www.infowars.com/driving-ban-for-women-ends-in-saudi-arabia/
39,Daily Mail,Featured Stories,Italy no longer surrendering to EU migrant quotas.,"Sun, 24 Jun 2018 16:45:27 +0000",infowars,"Italy Orders Seven Boats Carrying 1,000 Migrants To Return To Libya",https://www.infowars.com/italy-orders-seven-boats-carrying-1000-migrants-to-return-to-libya/
40,Daily Caller,Featured Stories,Left whipping base up into frenzy over border issue.,"Sun, 24 Jun 2018 16:08:01 +0000",infowars,Protesters Outside Detainment Facility Injure Border Agent Protecting Old Woman,https://www.infowars.com/protesters-outside-detainment-facility-injure-border-agent-protecting-old-woman/
41,Newsmax,Featured Stories,MSM refuses cover historic meeting neutrally.,"Sun, 24 Jun 2018 15:40:10 +0000",infowars,Trump: ‘Fake News Media’ Bias on NKorea Summit ‘Almost Treasonous’,https://www.infowars.com/trump-fake-news-media-bias-on-summit-almost-treasonous/
42,Zero Hedge,Featured Stories,Sweden's love for technology going too far?,"Sun, 24 Jun 2018 15:27:59 +0000",infowars,Why Thousands Of Swedes Are Inserting Microchips Into Themselves,https://www.infowars.com/why-thousands-of-swedes-are-inserting-microchips-into-themselves/
43,The Washington Times,Featured Stories,Trump Derangement Syndrome continues among Hollywood left.,"Sun, 24 Jun 2018 15:20:27 +0000",infowars,Seth Rogan Brags About Refusing to Take Photo with Paul Ryan’s Kids,https://www.infowars.com/seth-rogan-brags-about-refusing-to-take-photo-with-paul-ryans-kids/
